id,name,path
"1334134_6077448_5734610","Make Your Own Market Bag","Arts Crafts & Sewing/Crafting Ideas/Make Your Own Market Bag"
"1334134_6077448_4270196","Paint Pouring: A Comprehensive Guide","Arts Crafts & Sewing/Crafting Ideas/Paint Pouring: A Comprehensive Guide"
"1334134_6172404_8479577","Craft Supplies","Arts Crafts & Sewing/Crafting/Craft Supplies"
"1334134_6172404_4705167","Craft Surfaces & Blanks","Arts Crafts & Sewing/Crafting/Craft Surfaces & Blanks"
"1334134_6172404_8827591","Craft Wire","Arts Crafts & Sewing/Crafting/Craft Wire"
"1334134_6172404_7141830","Hot Glue Guns","Arts Crafts & Sewing/Crafting/Hot Glue Guns"
"1334134_6172404_4854691","Paper Crafting","Arts Crafts & Sewing/Crafting/Paper Crafting"
"1334134_6172404_7659444","Printmaking","Arts Crafts & Sewing/Crafting/Printmaking"
"1334134_6172404_7108348","Shop All Arts & Craft Kits","Arts Crafts & Sewing/Crafting/Shop All Arts & Craft Kits"
"1334134_6172404_3659773","Shop All Fabric & Apparel Crafting","Arts Crafts & Sewing/Crafting/Shop All Fabric & Apparel Crafting"
"1334134_6172404_5753260","Speciality Crafts & Hobbies","Arts Crafts & Sewing/Crafting/Speciality Crafts & Hobbies"
"1334134_6172404_8986702","Vision Board","Arts Crafts & Sewing/Crafting/Vision Board"
"1334134_9799587","Cricut","Arts Crafts & Sewing/Cricut"
"1334134_9799587_6422426","Cricut Bundles","Arts Crafts & Sewing/Cricut/Cricut Bundles"
"1334134_9799587_8431770","Cricut EasyPress","Arts Crafts & Sewing/Cricut/Cricut EasyPress"
"1334134_9799587_4508808","Cricut Explore","Arts Crafts & Sewing/Cricut/Cricut Explore"
"1334134_9799587_2248741","Cricut Explore Air","Arts Crafts & Sewing/Cricut/Cricut Explore Air"
"1334134_9799587_5108517","Cricut Explore Air 2","Arts Crafts & Sewing/Cricut/Cricut Explore Air 2"
"1334134_9799587_7609896","Cricut Explore One","Arts Crafts & Sewing/Cricut/Cricut Explore One"
"1334134_9799587_5774390","Cricut Joy","Arts Crafts & Sewing/Cricut/Cricut Joy"
"1334134_9799587_7470587","Cricut Machines","Arts Crafts & Sewing/Cricut/Cricut Machines"
"1334134_9799587_1839451","Cricut Maker","Arts Crafts & Sewing/Cricut/Cricut Maker"
"1334134_9799587_8374569","Cricut Materials","Arts Crafts & Sewing/Cricut/Cricut Materials"
"1334134_9799587_4843678","Cricut Mug Press","Arts Crafts & Sewing/Cricut/Cricut Mug Press"
"1334134_9799587_8544588","Cricut Tools","Arts Crafts & Sewing/Cricut/Cricut Tools"
"1334134_9799587_3575907","How to Create a Greeting Card With Cricut Joy Machine","Arts Crafts & Sewing/Cricut/How to Create a Greeting Card With Cricut Joy Machine"
"1334134_9799587_9198837","How to Make an Iron-On T-Shirt With a Cricut Maker","Arts Crafts & Sewing/Cricut/How to Make an Iron-On T-Shirt With a Cricut Maker"
"1334134_9015215","Damask Love","Arts Crafts & Sewing/Damask Love"
"1334134_6829452","David Textiles","Arts Crafts & Sewing/David Textiles"
"1334134_6829452_4715618","All David Textiles Fabric","Arts Crafts & Sewing/David Textiles/All David Textiles Fabric"
"1334134_6829452_9819359","David Textile Holiday Prints By the Yard","Arts Crafts & Sewing/David Textiles/David Textile Holiday Prints By the Yard"
"1334134_6829452_2404173","David Textile Pre-cut Holiday Prints","Arts Crafts & Sewing/David Textiles/David Textile Pre-cut Holiday Prints"
"1334134_6829452_9105702","David Textiles Apparel Fabric","Arts Crafts & Sewing/David Textiles/David Textiles Apparel Fabric"
"1334134_6829452_4158928","David Textiles Character Fabric","Arts Crafts & Sewing/David Textiles/David Textiles Character Fabric"
"1334134_6829452_9457785","David Textiles Novelty Cotton Fabric","Arts Crafts & Sewing/David Textiles/David Textiles Novelty Cotton Fabric"
"1334134_6829452_7661905","David Textiles Printed Fleece Fabric","Arts Crafts & Sewing/David Textiles/David Textiles Printed Fleece Fabric"
"1334134_6829452_2059605","David Textiles Solid Flannel Fabric","Arts Crafts & Sewing/David Textiles/David Textiles Solid Flannel Fabric"
"1334134_6829452_6318187","David Textiles Solid Fleece Fabric","Arts Crafts & Sewing/David Textiles/David Textiles Solid Fleece Fabric"
"1334134_3123463","Die Cutting","Arts Crafts & Sewing/Die Cutting"
"1334134_3123463_1745001","Craft Vinyl","Arts Crafts & Sewing/Die Cutting/Craft Vinyl"
"1334134_3123463_3276179","Die Cut Machines","Arts Crafts & Sewing/Die Cutting/Die Cut Machines"
"1334134_3123463_5444219","Die Cuts & Cartridges","Arts Crafts & Sewing/Die Cutting/Die Cuts & Cartridges"
"1334134_3123463_2762328","Die Cutting Tools & Accessories","Arts Crafts & Sewing/Die Cutting/Die Cutting Tools & Accessories"
"1334134_3123463_7533213","Die-Cut Plates","Arts Crafts & Sewing/Die Cutting/Die-Cut Plates"
"1334134_3123463_4247750","Shop All Die Cutting","Arts Crafts & Sewing/Die Cutting/Shop All Die Cutting"
"1334134_3123463_6054756","Sublimation Printers","Arts Crafts & Sewing/Die Cutting/Sublimation Printers"
"1334134_5079143","Dixon Graduate","Arts Crafts & Sewing/Dixon Graduate"
"1334134_5854524","DIY Wedding","Arts Crafts & Sewing/DIY Wedding"
"1334134_5854524_8709957","Artificial Floral Arrangements","Arts Crafts & Sewing/DIY Wedding/Artificial Floral Arrangements"
"1334134_5854524_1651928","DIY Party Favor Jars","Arts Crafts & Sewing/DIY Wedding/DIY Party Favor Jars"
"1334134_5854524_8463346","DIY Thank You Gifts","Arts Crafts & Sewing/DIY Wedding/DIY Thank You Gifts"
"1334134_5854524_6504241","DIY Wedding Centerpiece","Arts Crafts & Sewing/DIY Wedding/DIY Wedding Centerpiece"
"1334134_5854524_3100109","DIY Wedding Decorations","Arts Crafts & Sewing/DIY Wedding/DIY Wedding Decorations"
"1334134_5854524_4471486","DIY wedding furniture","Arts Crafts & Sewing/DIY Wedding/DIY wedding furniture"
"1334134_5854524_2471059","DIY Wedding Invitations","Arts Crafts & Sewing/DIY Wedding/DIY Wedding Invitations"
"1334134_5854524_5756019","DIY Wedding Signs","Arts Crafts & Sewing/DIY Wedding/DIY Wedding Signs"
"1334134_5854524_3967451","Guest Books & Keepsakes","Arts Crafts & Sewing/DIY Wedding/Guest Books & Keepsakes"
"1334134_5854524_6117181","Party Favor Gift Bags and Boxes","Arts Crafts & Sewing/DIY Wedding/Party Favor Gift Bags and Boxes"
"1334134_5854524_9696787","Ribbons & Fabric","Arts Crafts & Sewing/DIY Wedding/Ribbons & Fabric"
"1334134_5854524_1943857","Wedding Food Display","Arts Crafts & Sewing/DIY Wedding/Wedding Food Display"
"1334134_1735092","Easter Crafts","Arts Crafts & Sewing/Easter Crafts"
"1334134_4232946","Fabric","Arts Crafts & Sewing/Fabric"
"1334134_4232946_4841276","Holiday & Special Occasion Fabric","Arts Crafts & Sewing/Fabric/Holiday & Special Occasion Fabric"
"1334134_4232946_7528754","Personalized Fabric","Arts Crafts & Sewing/Fabric/Personalized Fabric"
"1334134_4232946_1085270","Shop All Fabric","Arts Crafts & Sewing/Fabric/Shop All Fabric"
"1334134_4232946_2885751","Shop Fabric by Brand","Arts Crafts & Sewing/Fabric/Shop Fabric by Brand"
"1334134_4232946_3436920","Shop Fabric By Color","Arts Crafts & Sewing/Fabric/Shop Fabric By Color"
"1334134_4232946_5038673","Shop Fabric by Material","Arts Crafts & Sewing/Fabric/Shop Fabric by Material"
"1334134_4232946_8857834","Shop Fabric by Pattern","Arts Crafts & Sewing/Fabric/Shop Fabric by Pattern"
"1334134_4232946_4801237","Shop Fabric by Size","Arts Crafts & Sewing/Fabric/Shop Fabric by Size"
"1334134_4232946_3934882","Shop Fabric by Usage","Arts Crafts & Sewing/Fabric/Shop Fabric by Usage"
"1334134_4232946_8836742","Tie Blankets","Arts Crafts & Sewing/Fabric/Tie Blankets"
"1334134_6528012","Fairfield","Arts Crafts & Sewing/Fairfield"
"1334134_7972196","Featured Shops","Arts Crafts & Sewing/Featured Shops"
"1334134_6281850","Halloween Crafts","Arts Crafts & Sewing/Halloween Crafts"
"1334134_8769788","Halloween DIY Costumes","Arts Crafts & Sewing/Halloween DIY Costumes"
"1334134_4096169","Hello Hobby","Arts Crafts & Sewing/Hello Hobby"
"1334134_4096169_3844687","Hello Hobby Art Supplies","Arts Crafts & Sewing/Hello Hobby/Hello Hobby Art Supplies"
"1334134_4096169_5584295","Hello Hobby Craft Kits","Arts Crafts & Sewing/Hello Hobby/Hello Hobby Craft Kits"
"1334134_4096169_5355841","Hello Hobby DIY","Arts Crafts & Sewing/Hello Hobby/Hello Hobby DIY"
"1334134_4096169_5640365","Hello Hobby Paint","Arts Crafts & Sewing/Hello Hobby/Hello Hobby Paint"
"1334134_4096169_6849735","Hello Hobby Paper Crafts","Arts Crafts & Sewing/Hello Hobby/Hello Hobby Paper Crafts"
"1334134_4096169_7731988","Hello Hobby Shop All","Arts Crafts & Sewing/Hello Hobby/Hello Hobby Shop All"
"1334134_4880989","Knitting & Crochet","Arts Crafts & Sewing/Knitting & Crochet"
"1334134_4880989_7912327","Crochet Hooks","Arts Crafts & Sewing/Knitting & Crochet/Crochet Hooks"
"1334134_4880989_7926808","Crochet Kits","Arts Crafts & Sewing/Knitting & Crochet/Crochet Kits"
"1334134_4880989_2338162","Crochet Thread","Arts Crafts & Sewing/Knitting & Crochet/Crochet Thread"
"1334134_4880989_9414803","Knitting and Crochet Kits","Arts Crafts & Sewing/Knitting & Crochet/Knitting and Crochet Kits"
"1334134_4880989_1555046","Knitting Kits","Arts Crafts & Sewing/Knitting & Crochet/Knitting Kits"
"1334134_4880989_6727372","Knitting Looms & Boards","Arts Crafts & Sewing/Knitting & Crochet/Knitting Looms & Boards"
"1334134_4880989_9407238","Knitting Needles","Arts Crafts & Sewing/Knitting & Crochet/Knitting Needles"
"1334134_4880989_3031053","Knitting Tools and Supplies","Arts Crafts & Sewing/Knitting & Crochet/Knitting Tools and Supplies"
"1334134_3059470","LaurDIY","Arts Crafts & Sewing/LaurDIY"
"1334134_3059470_2618174","LaurDIY Beads","Arts Crafts & Sewing/LaurDIY/LaurDIY Beads"
"1334134_9186420","Lion Brand","Arts Crafts & Sewing/Lion Brand"
"1334134_6107594","Mainstays Arts Crafts & Sewing","Arts Crafts & Sewing/Mainstays Arts Crafts & Sewing"
